Company,BestList,WorstList,Info
Engelsons,"[['Fri frakt/leveransalternativ', 1.8047889610389611], ['Retur (kläder)', 1.341991341991342], ['Leverans (2)', 1.1964285714285716], ['Returer', 0.9821428571428571]]","[['Verkstad/leverans', -0.4576238390092878], ['Pakethantering', -0.2849264705882352], ['Rabatt / bf', -0.25493421052631576], ['Möbler', -0.24553571428571427]]","Engelsons is best at:
Fri frakt/leveransalternativ (Score: 1.8047889610389611)
Retur (kläder) (Score: 1.341991341991342)
Leverans (2) (Score: 1.1964285714285716)
Returer (Score: 0.9821428571428571)
and worst at:
Verkstad/leverans (Score: -0.4576238390092878)
Pakethantering (Score: -0.2849264705882352)
Rabatt / bf (Score: -0.25493421052631576)
Möbler (Score: -0.24553571428571427)
Overall Score: 4.0
"
Skruvat,"[['Pakethantering', 0.6494436208019739], ['Returer', 0.4871613290947869], ['Problemhantering/cykel', 0.3056513144947111], ['Möbler', 0.2985776420891108]]",[],"Skruvat is best at:
Pakethantering (Score: 0.6494436208019739)
Returer (Score: 0.4871613290947869)
Problemhantering/cykel (Score: 0.3056513144947111)
Möbler (Score: 0.2985776420891108)
and worst at:
-
Overall Score: 3.465940054495913
"
Jotex,[],"[['Returer', -1.8399296655599178], ['Problemhantering/cykel', -0.8399748399748399], ['Installation', -0.8022525748089657], ['Fri frakt/leveransalternativ', -0.7299590551470251]]","Jotex is best at:
-
and worst at:
Returer (Score: -1.8399296655599178)
Problemhantering/cykel (Score: -0.8399748399748399)
Installation (Score: -0.8022525748089657)
Fri frakt/leveransalternativ (Score: -0.7299590551470251)
Overall Score: 1.8571428571428572
"
CareOfCarl,"[['Retur (kläder)', 2.0244450641646763], ['Returer', 1.0318318697866495], ['Installation', 1.0285401422520801], ['Kundtjänst (mail)', 0.906739137748068]]",[],"CareOfCarl is best at:
Retur (kläder) (Score: 2.0244450641646763)
Returer (Score: 1.0318318697866495)
Installation (Score: 1.0285401422520801)
Kundtjänst (mail) (Score: 0.906739137748068)
and worst at:
-
Overall Score: 4.869969040247678
"
Parfym,"[['Noise', 0.9060657084811136], ['Beställningsproblem (noise)', 0.7782627105475791], ['Problemhantering/cykel', 0.6796677880571909], ['Hemsida', 0.5363693864642631]]","[['Kundtjänst(telefon)', -1.7047534165181226], ['Verkstad/leverans', -1.4381938668310565], ['Lagerhantering', -0.6306818181818181], ['Orderhantering', -0.35416666666666663]]","Parfym is best at:
Noise (Score: 0.9060657084811136)
Beställningsproblem (noise) (Score: 0.7782627105475791)
Problemhantering/cykel (Score: 0.6796677880571909)
Hemsida (Score: 0.5363693864642631)
and worst at:
Kundtjänst(telefon) (Score: -1.7047534165181226)
Verkstad/leverans (Score: -1.4381938668310565)
Lagerhantering (Score: -0.6306818181818181)
Orderhantering (Score: -0.35416666666666663)
Overall Score: 2.9375
"
CoolStuff,"[['Rabatt / bf', 1.4600843129050867], ['Verkstad/leverans', 1.1047438771835334], ['Leverans(dörr)', 0.8099089337293848], ['Noise', 0.7759167403932996]]",[],"CoolStuff is best at:
Rabatt / bf (Score: 1.4600843129050867)
Verkstad/leverans (Score: 1.1047438771835334)
Leverans(dörr) (Score: 0.8099089337293848)
Noise (Score: 0.7759167403932996)
and worst at:
-
Overall Score: 4.347593582887701
"
Lenson,"[['Service/Leverans', 1.6098911877998061], ['Pakethantering', 1.0111198662471212], ['Fri frakt/leveransalternativ', 0.9192523983893197], ['Installation', 0.8297369709297349]]",[],"Lenson is best at:
Service/Leverans (Score: 1.6098911877998061)
Pakethantering (Score: 1.0111198662471212)
Fri frakt/leveransalternativ (Score: 0.9192523983893197)
Installation (Score: 0.8297369709297349)
and worst at:
-
Overall Score: 4.51051051051051
"
KitchenTime,"[['Kundtjänst (mail)', 0.995994410118645], ['Pakethantering', 0.903309542298383], ['Installation', 0.8783718549573938], ['Personal/service', 0.7627450026864079]]",[],"KitchenTime is best at:
Kundtjänst (mail) (Score: 0.995994410118645)
Pakethantering (Score: 0.903309542298383)
Installation (Score: 0.8783718549573938)
Personal/service (Score: 0.7627450026864079)
and worst at:
-
Overall Score: 4.5347043701799485
"
PartyKungen,"[['Kundtjänst (mail)', 1.8134957148115045], ['Personal/service', 1.438718140929535], ['Verkstad/leverans', 0.596153846153846], ['Leverans(dörr)', 0.40068922305764404]]","[['Leverans/jul/bok', -0.45482965310551504], ['Kundtjänst(telefon)', -0.26724137931034486], ['Returer', -0.2619047619047619], ['Lagerhantering', -0.2039473684210526]]","PartyKungen is best at:
Kundtjänst (mail) (Score: 1.8134957148115045)
Personal/service (Score: 1.438718140929535)
Verkstad/leverans (Score: 0.596153846153846)
Leverans(dörr) (Score: 0.40068922305764404)
and worst at:
Leverans/jul/bok (Score: -0.45482965310551504)
Kundtjänst(telefon) (Score: -0.26724137931034486)
Returer (Score: -0.2619047619047619)
Lagerhantering (Score: -0.2039473684210526)
Overall Score: 3.3
"
Bubbleroom,"[['Tid', 0.11517615176151763]]","[['Fri frakt/leveransalternativ', -1.281055207884476], ['Personal/service', -1.2795999897865036], ['Kundtjänst (mail)', -1.0005287395531297], ['Leverans (2)', -0.906330417241842]]","Bubbleroom is best at:
Tid (Score: 0.11517615176151763)
and worst at:
Fri frakt/leveransalternativ (Score: -1.281055207884476)
Personal/service (Score: -1.2795999897865036)
Kundtjänst (mail) (Score: -1.0005287395531297)
Leverans (2) (Score: -0.906330417241842)
Overall Score: 1.4878048780487805
"
